,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
4,whNuOciB,0.5,1.5,1.4000000000000004,0.625,1.0,0.9375,20,8
5,whNuOciB,0.5,1.5,1.4000000000000004,0.5,1.0,0.95,20,10
6,whNuOciB,0.5,1.5,1.4000000000000004,0.5384615384615384,1.263157894736842,0.9551282051282052,20,13
7,whNuOciB,0.5,1.5,1.4000000000000004,0.0,0.5555555555555556,1.0,20,6
8,whNuOciB,0.5,1.5,1.4000000000000004,0.375,0.8,0.953125,20,8
9,whNuOciB,0.5,1.5,1.4000000000000004,0.2,1.263157894736842,0.9833333333333333,20,5
0,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.1111111111111111,0.5555555555555556,0.9777777777777777,20,9
1,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.5,0.8,0.9375,20,8
2,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.5555555555555556,0.8888888888888888,0.9305555555555556,20,9
3,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.14285714285714285,0.2222222222222222,0.9285714285714286,20,7
4,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.375,1.1578947368421053,0.9659090909090909,20,8
5,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.2,0.6666666666666666,0.9666666666666667,20,10
6,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.1111111111111111,0.42105263157894735,0.9722222222222222,20,9
7,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.16666666666666666,0.7368421052631579,0.9761904761904762,20,6
8,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.16666666666666666,0.5263157894736842,0.9666666666666667,20,6
9,CcdWBcfZ,0.5,1.5,1.5000000000000004,0.4166666666666667,0.9,0.9537037037037037,20,12
0,dDWRjkIO,0.5,1.5,1.6000000000000005,0.3333333333333333,1.0,0.962962962962963,20,9
1,dDWRjkIO,0.5,1.5,1.6000000000000005,0.375,1.2,0.96875,20,8
2,dDWRjkIO,0.5,1.5,1.6000000000000005,0.3333333333333333,1.2222222222222223,0.9696969696969697,20,9
3,dDWRjkIO,0.5,1.5,1.6000000000000005,0.5555555555555556,1.1111111111111112,0.9444444444444444,20,9
4,dDWRjkIO,0.5,1.5,1.6000000000000005,0.4,1.1,0.9636363636363636,20,10
5,dDWRjkIO,0.5,1.5,1.6000000000000005,0.0,0.5882352941176471,1.0,20,4
6,dDWRjkIO,0.5,1.5,1.6000000000000005,0.2857142857142857,0.47058823529411764,0.9285714285714286,20,7
7,dDWRjkIO,0.5,1.5,1.6000000000000005,0.8333333333333334,1.263157894736842,0.9305555555555556,20,6
8,dDWRjkIO,0.5,1.5,1.6000000000000005,0.0,0.4,1.0,20,8
9,dDWRjkIO,0.5,1.5,1.6000000000000005,0.14285714285714285,0.6666666666666666,0.9761904761904762,20,7
0,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.14285714285714285,0.7368421052631579,0.9795918367346939,20,7
1,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.16666666666666666,0.5,0.9666666666666667,20,12
2,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.2857142857142857,0.7368421052631579,0.9591836734693877,20,7
3,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.5,1.263157894736842,0.9583333333333334,20,8
4,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.0,0.4,1.0,20,7
5,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.375,1.1111111111111112,0.9625,20,8
6,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.3333333333333333,0.7777777777777778,0.9523809523809523,20,6
7,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.0,0.5882352941176471,1.0,20,6
8,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.45454545454545453,0.7058823529411765,0.9242424242424242,20,11
9,gqLqPyQJ,0.5,1.5,1.7000000000000006,0.3,0.8421052631578947,0.9625,20,10
0,FKcTmMjT,0.5,1.5,1.8000000000000007,0.25,1.1,0.9772727272727273,20,8
1,FKcTmMjT,0.5,1.5,1.8000000000000007,0.75,1.2222222222222223,0.9318181818181819,20,8
2,FKcTmMjT,0.5,1.5,1.8000000000000007,0.8,1.3,0.9384615384615385,20,5
3,FKcTmMjT,0.5,1.5,1.8000000000000007,0.5454545454545454,1.1764705882352942,0.9454545454545454,20,11
4,FKcTmMjT,0.5,1.5,1.8000000000000007,0.4,0.9,0.9555555555555556,20,10
5,FKcTmMjT,0.5,1.5,1.8000000000000007,0.25,0.9,0.9722222222222222,20,8
6,FKcTmMjT,0.5,1.5,1.8000000000000007,0.16666666666666666,0.9,0.9814814814814815,20,6
7,FKcTmMjT,0.5,1.5,1.8000000000000007,0.6363636363636364,1.3,0.951048951048951,20,11
8,FKcTmMjT,0.5,1.5,1.8000000000000007,0.0,0.631578947368421,1.0,20,5
9,FKcTmMjT,0.5,1.5,1.8000000000000007,0.5,1.0526315789473684,0.95,20,8
0,IExkmbxi,0.5,1.5,1.9000000000000008,0.25,0.9,0.9722222222222222,20,8
1,IExkmbxi,0.5,1.5,1.9000000000000008,0.25,0.8421052631578947,0.96875,20,4
2,IExkmbxi,0.5,1.5,1.9000000000000008,0.18181818181818182,0.7,0.974025974025974,20,11
3,IExkmbxi,0.5,1.5,1.9000000000000008,0.125,0.631578947368421,0.9791666666666666,20,8
4,IExkmbxi,0.5,1.5,1.9000000000000008,0.4,1.1111111111111112,0.96,20,10
5,IExkmbxi,0.5,1.5,1.9000000000000008,0.2222222222222222,0.6,0.962962962962963,20,9
6,IExkmbxi,0.5,1.5,1.9000000000000008,0.0,0.7777777777777778,1.0,20,5
7,IExkmbxi,0.5,1.5,1.9000000000000008,0.5,1.1,0.9545454545454546,20,6
8,IExkmbxi,0.5,1.5,1.9000000000000008,0.16666666666666666,0.8,0.9791666666666666,20,6
9,IExkmbxi,0.5,1.5,1.9000000000000008,0.3333333333333333,0.8,0.9583333333333334,20,9
