county,county_name,exposure_grp_mem_county,exposure_grp_mem_high_county,bias_grp_mem_county,bias_grp_mem_high_county
54017,"Doddridge, West Virginia",0.90578997,0.98882997,0.02407,-0.18753
54019,"Fayette, West Virginia",0.77423,0.91113001,0.03118,-0.19433001
54021,"Gilmer, West Virginia",0.91285002,1.01099,0.02767,-0.16392
54023,"Grant, West Virginia",0.85403001,0.93882,-0.00695,-0.1717
54025,"Greenbrier, West Virginia",0.78789997,0.97311002,0.079620004,-0.19592001
54027,"Hampshire, West Virginia",0.86910999,0.98276001,0.077320002,-0.10188
54029,"Hancock, West Virginia",0.95354998,1.04579,0.078280002,-0.16153
54031,"Hardy, West Virginia",0.86347002,1.00002,0.026009999,-0.16892999
54033,"Harrison, West Virginia",0.97259003,1.1214499,0.080279998,-0.18454
54035,"Jackson, West Virginia",0.96868998,1.01941,0.08918,-0.15876999
54037,"Jefferson, West Virginia",1.20739,1.30536,0.073009998,-0.11579
54039,"Kanawha, West Virginia",0.89845002,1.05797,0.082220003,-0.18513
54041,"Lewis, West Virginia",0.82656997,0.92272002,0.070019998,-0.20682
54043,"Lincoln, West Virginia",0.72399998,0.84714001,0.05914,-0.15638
54045,"Logan, West Virginia",0.83809,0.90175003,0.01136,-0.16361
54047,"McDowell, West Virginia",0.66552001,0.76818001,0.00893,-0.11289
54049,"Marion, West Virginia",1.02552,1.12318,0.10575,-0.1795
54051,"Marshall, West Virginia",0.95333999,1.0249799,0.081759997,-0.1219
54053,"Mason, West Virginia",0.86163002,0.93387997,0.055289999,-0.16205999
54055,"Mercer, West Virginia",0.76683998,0.85895997,0.068970002,-0.20625
54057,"Mineral, West Virginia",0.81853998,0.94594002,0.053959999,-0.10289
54059,"Mingo, West Virginia",0.73746002,0.82062,0.00787,-0.16878
54061,"Monongalia, West Virginia",1.08285,1.26612,0.030270001,-0.14289001
54063,"Monroe, West Virginia",0.80747998,0.89421999,0.01574,-0.14489999
54065,"Morgan, West Virginia",1.03834,1.11376,0.06174,-0.10146
54067,"Nicholas, West Virginia",0.77491999,0.87796998,0.040550001,-0.21531001
54069,"Ohio, West Virginia",0.96355999,1.08478,0.10958,-0.17918
54071,"Pendleton, West Virginia",0.90078998,1.06218,0.023150001,-0.14035
